Name,Official position,Relations,Relevant memberships
Fiji,Fijian policy on the Israeli–Palestinian conflict is largely based on United Nations resolutions.[234],No,"MSG, PIF"
Finland,"Finland supports a two-state solution to the conflict.[235] In October 2014, president Sauli Niinistö said that Finland would not follow Sweden's decision in recognizing the State of Palestine.[236]",Yes,"EU, NATO"
France,"According to President Nicolas Sarkozy, ""France supports the solution of two nation states living side-by-side in peace and security, within safe and recognized borders.""[237] In May 2011, Sarkozy said that if peace talks with Israel had not resumed by September, he would recognize the State of Palestine as part of its bid at the United Nations.[238] This echoed statements made in March by Nabil Shaath, who claimed to have received a promise from France that it would recognize in September a Palestinian state on the 1967 borders.[239] According to Israeli Prime Minister Netanyahu, however, Sarkozy had said that France's support would require the Palestinians to recognize Israel as the state of the Jewish people.[237] This was confirmed in July, when Foreign Minister Alain Juppé stated that any solution to the conflict would require the recognition of ""the nation-state of Israel for the Jewish people, and the nation-state of Palestine for the Palestinian people.""[240] This broke with the European Union's traditional position, which adamantly opposes any mention of Israel as a Jewish state.[241] Sarkozy later turned around on this policy, reportedly saying that the idea of a Jewish state was ""silly"".[242] In August, Sarkozy stressed the importance of a united EU position on the September initiative, and proposed a compromise where the State of Palestine would be given observer status instead of full membership. The proposal, which was to prevent a split among members of the EU, included a promise from Paris and other members that they would vote for the resolution.[243] In October 2014, France's foreign minister said France would recognize a Palestinian state even if peace talks with Israel fails.[244] On 2 December 2014 the French National Assembly approved a non-binding motion calling on the government to recognise Palestine.[245]",Yes,"EU, G7, G20, NATO, UNSC (permanent)"
Germany,"In April 2011, Chancellor Angela Merkel labelled the Palestinian bid for recognition a ""unilateral step"",[246] and stated unequivocally that Germany will not recognize a Palestinian state without its prior acceptance by Israel. ""Unilateral recognitions therefore definitely do not contribute to achieving this aim ... This is our stance now and it will be our stance in September. There needs to be mutual recognition, otherwise it is not a two-state solution"".[247] She also reaffirmed her government's commitment to see an agreement reached as soon as possible. ""We want a two-state solution. We want to recognize a Palestinian state. Let us ensure that negotiations begin. It is urgent"".[248]",,
Further details,Yes,"EU, G7, G20, NATO",
Greece,"President Karolos Papoulias has stated that Greece ultimately supports the creation of a Palestinian state alongside Israel.[249] Under previous governments, Greece garnered a reputation as a staunch supporter of the Palestinian cause.[250] Within the wider Arab–Israeli conflict, Andreas Papandreou maintained a stronger stand against Israel than any other government in the European Community. Diplomatic relations were founded with the PLO in 1981, while relations with Israel were maintained only at the consular level until Greece's formal recognition of Israel in 1990 under Mitsotakis.[251] Since the formation of current foreign policy under George Papandreou, Greece has seen a rapid improvement in relations with Israel,[252] leading the media to mark the conclusion of Greece's pro-Palestinian era.[253] However, in December 2015, Greece's parliament voted in favour of a motion requesting that the government recognize Palestine.[254]",Yes,"EU, NATO; Greece–Palestine relations"
Israel,See above,Yes,
Italy,"In May 2011, at an event in Rome celebrating Israel's independence, then Prime Minister Silvio Berlusconi pledged his country's support to Israel.[255] In June, he reiterated Italy's position against unilateral actions on either side of the conflict, stressing that ""peace can only be reached with a common initiative through negotiations"".[256] This position was shared by parliamentarians, who drafted a letter to the United Nations stating that ""a premature, unilateral declaration of Palestinian statehood would [...] undermine rather than resolve the Israeli–Palestinian peace process"".[257] Nevertheless, at the same time, Italy upgraded the diplomatic status of the Palestinian delegation in Rome to a mission, similarly to what other EU countries were doing, giving the head of the delegation ambassadorial status.[258] Moreover, on 31 October 2011, Italy did not oppose Palestine's UNESCO membership bid[259] and, on 29 November 2012, Italy voted in favour of UN Resolution 67/19, giving Palestine a non-member observer state status at the United Nations.[260] Italy's opposition to unilateral actions was reiterated on 21 December 2017, when it voted in favour of a UN draft resolution calling on all countries to comply with Security Council resolutions regarding the status of Jerusalem,[261] following the decision by the U.S. to move its embassy to Israel from Tel Aviv to the city.[262]",Yes,"EU, G7, G20, NATO; Italy–Palestine relations"
Japan,"Japan supports a two-state solution to the conflict,[263] and supports the establishment of a Palestinian state.[264] In October 2007, a Japanese Justice Ministry official said ""Given that the Palestinian Authority has improved itself to almost a full-fledged state and issues its own passports, we have decided to accept the Palestinian nationality"".[265] The Japanese government declared that it would not recognize any act that would jeopardize a Palestianian state with the pre-1967 borders nor the annexation of East Jerusalem by Israel.[266][267] Japan voted favorably for the United Nations General Assembly resolution to accord Palestine Non-member Observer State status in the United Nations in November 2012, and since then, refers to the country as ""Palestine"".[268]",Yes,"G7, G20"
Kiribati,"During the summit of the Pacific Islands Forum in early September 2011, the foreign minister of Kiribati reportedly expressed support for the Palestinian position.[269]",No,PIF
Latvia,Latvia supports a two-state solution to the conflict and provides development assistance to the Palestinian National Authority.[270][271],Yes,"EU, NATO"
Liechtenstein,"Liechtenstein relies on Switzerland to carry out most of its foreign affairs.[272] In January 2011, it co-sponsored a draft resolution guaranteeing the Palestinian people's right to self-determination,[195] and stated that this right must be exercised with a view to achieving a viable and fully sovereign Palestinian state.[273]",No,EFTA
Lithuania,"Like the rest of the European Union, Lithuania supports a two-state solution including an independent Palestinian state.[274] Foreign Minister Audronius Ažubalis called for a strong, unanimous European position that encouraged both parties to resume peace talks.[275]",Yes,"EU, NATO"
Luxembourg,"In an interview with Foreign Minister Jean Asselborn in March 2011, The Jerusalem Post stated that Luxembourg was considered among the ""least friendly"" countries to Israel in the EU.[276][277] In response to divisions within the EU regarding the Palestinians' September bid for UN membership, Asselborn reportedly urged the PNA to accept an upgrade in its observer status and not ask for membership. He insisted, ""We cannot let the Palestinians leave New York at the end of the month with nothing"",[278] He referred to the positions of four members in particular that stood as an obstacle to the achievement of a common position,[269] but that he ""cannot agree to say no"" to the Palestinian endeavour.[279] He noted that securing the support of all EU nations would have been a great moral advantage for Palestine.[278] In December 2019, Asselborn wrote to Josep Borrell, the head of EU foreign policy, urging a debate on recognising Palestinian statehood.[280]",Yes,"EU, NATO; Luxembourg–Palestine relations"
Marshall Islands,"The Marshall Islands has, like the US, long been a close voting ally of Israel at the United Nations. In December 2017, the Marshall Islands was one of just nine countries (including the US and Israel) to vote against a motion adopted by the UN General Assembly condemning the United States' recognition of Jerusalem as Israel's capital city.[281] Additionally, it was one of only five countries (the others being Israel, the US, Micronesia and Nauru) to oppose a UN draft resolution in November 2020 on the creation of a Palestinian state.[282]",No,PIF
Federated States of Micronesia,"The Federated States of Micronesia (FSM) is a consistent supporter of Israel, especially in international resolutions,[285] though this is due in part to its association with the United States.[272] Former FSM President Manny Mori said that the relationship goes back to 1986, when Israel made ""[an] early decision to support Micronesia's membership in the UN"".[286] During the summit of the Pacific Islands Forum in September 2011, the leader of the Micronesian delegation reportedly stated his country's solidarity with the Palestinian people's suffering and support for their right to self-determination. Regarding the PNA's endeavour to gain admission to the United Nations, however, the official stated that the agreements signed with the U.S. prevented the FSM from voting according to its government's wishes in cases where they conflicted with those of the U.S.[269] In reference to Israel's continued development assistance to Micronesians, another diplomat noted, ""We need Israeli expertise, so I don't see a change in our policy anytime soon.""[285]",No,PIF
Moldova,"Moldova maintains a policy of neutrality in international affairs. It has expressed full support for the Quartet principles for the settlement of the Israeli–Palestinian conflict, which call for an independent Palestinian state.",Yes,
Monaco,,No,
Myanmar,"Myanmar is one of only two Asian members of the Non-Aligned Movement that has not recognized the State of Palestine, alongside Singapore.[287][288] Former foreign affairs minister Win Aung stated in 2000 that Myanmar supports a two-state solution within internationally recognized borders.[289]",No,ASEAN
Nauru,"During the Pacific Islands Forum in early September 2011, Foreign Affairs Minister Kieren Keke confirmed his nation's solidarity with the Palestinian people and their right to self-determination.[290] The PNA's foreign ministry published a statement prior to the summit claiming that most Pacific island nations would vote against a United Nations resolution regarding the Palestinian state.[291]",No,PIF
Netherlands,The Netherlands supports a two-state solution. The recognition of Palestine as a state is seen as contingent upon successful negotiations that ensure the security and mutual recognition of both states.[292],Yes,"EU, NATO"
New Zealand,"New Zealand supports a two-state solution to the peace process.[293] It also maintains a policy of tacit rather than explicit recognition of new states. For Palestine, this would mean upgrading its accredited delegation to a diplomatic status.[294] In early September 2011, Foreign Minister Murray McCully said that the government would not make a decision until the wording of the resolution was released. ""We've got a reputation for being fair minded and even handed on this matter and all we can do is wait to see the words.[293] He also told Riyad al-Malki that he had refused to give any pledges Israel to oppose to vote.[269] Since 2017, Prime Minister Jacinda Ardern has reiterated her support for a two-state solution and opposition to settler expansions.[295][296]",Yes[145],PIF
North Macedonia,"North Macedonia is one of the few countries with no political or diplomatic relations with Palestine, of any kind. Whilst he was Macedonian Foreign Minister, Nikola Poposki stated that the Macedonian position will be built in accordance with the views of the European Union and its strategic partners.[297]",No,NATO
Palau,"Palau is one of four countries (alongside the Marshall Islands, the Federated States of Micronesia and Nauru) that has almost always voted with the U.S. in bills at the UN. Palau, the Marshall Islands, Micronesia and the U.S. make up the Compact of Free Association,[298] which some observers have suggested amounts to ""checkbook diplomacy"", whereby the U.S. bought the tiny island states' votes for cash.[299] When the UN overwhelmingly voted to condemn Donald Trump's decision to recognise Jerusalem as Israel's capital and relocate the U.S. embassy there, Palau was one of only nine countries to support the move.[300][301]",No,PIF
Panama,"Panama has not indicated its position regarding a vote on statehood,[302] and is reported to be undecided on the matter.[303] President Ricardo Martinelli has a record of supporting Israel in UN resolutions,[304] and has reportedly resisted pressure from other Latin American governments to recognize Palestine.[305] The Central American Integration System (SICA) was expected to adopt a joint position on the issue at its summit on 18 August,[306] but Panama insisted that discussion should retain a regional focus and the matter was not included on the final agenda.[307] In early September, Foreign Minister Roberto Henriquez said that the government's decision would not be made public until its vote is cast, but added, ""It is very important that the birth of this country and its recognition in the international forum is previously accompanied by a full peace agreement with its neighbour, Israel.""[308] On 4 July 2015, Panama's Vice President and Foreign Minister Isabel De Saint Malo de Alvarado said that her government is looking at ways to recognize the State of Palestine without affecting their ""close relationship"" with Israel.[309]",No,OAS
Samoa,"In 2010, Prime Minister Tuilaʻepa Saʻilele Malielegaoi expressed support for a two-state solution to the conflict.[314]",No,PIF
San Marino,,No,
Singapore,"Singapore has not recognized the State of Palestine and has not announced a position regarding a resolution.[315] The island state has a strong relationship with Israel.[316] However, Singapore established a representative office in Ramallah as a move to improve coordination of capacity-building initiatives and fortify relations with the Palestinian National Authority.[317][318]",Yes[319],ASEAN
Slovenia,"On 28 November 2014, the Foreign Policy Committee rejected a motion to immediately recognize Palestine but approved an alternative motion requiring the government to submit a proposal to recognize Palestine to the National Assembly.[320] During the Israel–Hamas war, Prime Minister Robert Golob announced that his government will recognize the State of Palestine by 13 June 2024, expecting that this will help put pressure on both sides of the conflict to reach an agreement.[321][322]",Yes,"EU, NATO"
Solomon Islands,"Foreign Minister Peter Shannel Agovaka met Riyad al-Malki in early September at the summit of the Pacific Islands Forum in Wellington. Agovaka reportedly confirmed his government's support of Palestinian efforts at the United Nations, and that possible recognition of the State of Palestine would be considered in the next cabinet meeting.[269]",No,PIF
South Korea,"The government of South Korea does not recognize the State of Palestine; however, it has a representative office in Ramallah.[323]",Yes,G20
Switzerland,"Switzerland does not recognize Palestine as an independent state but voted in favor of granting it a non-member observer status at the UN in November 2014. Swiss President Simonetta Sommaruga voiced her support for a two-state solution, saying ""Switzerland has worked for years for a solution to the conflict between Israel and Palestine. Our aim is to achieve peace.""[324]",Yes,EFTA
Tonga,"In September 2011, following the summit of the Pacific Islands Forum in Wellington, the PNA's foreign ministry noted that it had made significant strides in its efforts to attain recognition from Tonga.[290]",No,PIF
Tuvalu,"On 10 September 2015, the United Nations General Assembly passed a Palestinian resolution to allow its flag to fly in front of the United Nations headquarters in New York. The vote was passed with 119 votes in support, 8 opposing, and 45 abstentions. Tuvalu was one of the eight opposing votes.[325]",No,PIF
United States,"In September 2011, President Barack Obama declared U.S. opposition to the bid in his speech to the General Assembly, saying that ""genuine peace can only be realized between Israelis and Palestinians themselves"" and that ""[u]ltimately, it is Israelis and Palestinians – not us – who must reach an agreement on the issues that divide them"".[330] Obama told Abbas that the United States would veto any United Nations Security Council move to recognize Palestinian statehood.[331] Presidents Donald Trump and Joe Biden have maintained that UNSC veto policy.[332][333]",Yes,"G7, G20, NATO, OAS, UNSC (permanent); Palestine–United States relation"
